MaSP,TenSP,SoLuongTon,MoTa,Gia
SP63051696,Nuoc bap 586,870,Thom ngon bo duong,67196
SP78255604,Muc cam 215,998,,977813
SP45607611,Snack quyt 870,369,Co ich cho suc khoe,99386
SP74488523,Banh dua 472,754,,317808
SP93452810,Kem sau rieng 730,629,,784787
SP52887678,Banh vai thieu 729,443,,29152
SP35106041,Snack nhan 816,452,Thom ngon bo duong,962182
SP20633423,Kem man 376,244,,978987
SP55810285,Nuoc đao 412,981,San pham tot,52371
SP56992168,Sua rong bien 454,393,,324704
SP91429060,Nuoc đao 881,723,,752107
SP53550281,Snack dua 533,672,,788644
SP40092695,Muc rong bien 728,851,Hinh anh bat mat,286932
SP14756111,Kem đao 565,414,,684628
SP47307891,Sua khoai tay 211,379,Mau ma đep,701452
SP36263694,Sua đao 236,770,,176795
SP68798763,Sua nhan 517,681,,476883
SP88512606,Kem thanh long 603,377,,151455
SP31655320,Nuoc sau rieng 666,824,Co ich cho suc khoe,250774
SP95419851,Nuoc thanh long 837,973,,661652
SP69907932,Sua khoai tay 477,915,Kieu dang tien loi,472548
SP83446558,Snack bo 615,156,,585507
SP68855184,Snack chuoi 625,993,,500783
SP54787526,Kem nho 175,581,,795068
SP14405806,Muc chuoi 494,320,Mau sac tuoi tan,702676
SP15179613,Banh chuoi 885,524,,353351
SP65020982,Muc sau rieng 479,310,Kieu dang tien loi,674833
SP24380905,Sua buoi 386,349,,600300
SP46016264,Banh rong bien 418,253,,929799
SP56099602,Muc chuoi 919,379,,385936
SP30098830,Kem vai thieu 287,493,Mau sac tuoi tan,843611
SP53557295,Banh chuoi 482,583,,933133
SP97243329,Muc dau 790,929,Thom ngon bo duong,689170
SP72469728,Banh dua 913,802,,238563
SP81008919,Muc khoai tim 149,538,,352475
SP24676319,Nuoc nho 670,421,,459991
SP32663982,Banh bo 564,523,Ngon bo re,196619
SP40360266,Kem sau rieng 774,850,,880516
SP59523677,Snack dua 849,945,Mau sac tuoi tan,674299
SP12857604,Sua hong xiem 340,231,,76134
SP68572362,Snack bap 488,937,,205566
SP35387019,Muc man 682,983,,708873
SP66421689,Muc chuoi 579,981,Kieu dang tien loi,494343
SP93603032,Muc chuoi 509,830,,462598
SP88182862,Nuoc nhan 830,884,Mau sac tuoi tan,426497
SP52072593,Snack chuoi 171,322,,170822
SP92206373,Kem cam 646,833,,18920
SP82569277,Kem xooai 200,957,,184330
SP57488324,Sua hong xiem 498,259,Thom ngon bo duong,161633
SP41077137,Sua cam 909,437,,130256
SP15267933,Kem man 310,469,Phu hop voi gia tien,292766
SP90997780,Sua sau rieng 331,188,,274981
SP92142612,Kem xooai 366,451,,129715
SP72632990,Nuoc man 949,742,,433791
SP89608102,Kem sau rieng 259,349,Co ich cho suc khoe,894160
SP24306234,Muc nhan 668,761,,335648
SP43052869,Snack xooai 832,864,Kieu dang tien loi,141079
SP73066360,Banh chuoi 433,556,,901043
SP64952531,Muc mang cut 516,256,,976207
SP54439991,Muc man 572,805,,303367
SP29619769,Nuoc mo 368,975,Than thien voi moi truong,658488
SP68830601,Muc cam 878,367,,796380
SP75482214,Banh chuoi 407,635,Ngon bo re,872366
SP27531618,Banh sau rieng 697,622,,222430
SP95775444,Nuoc dua 1000,899,,571366
SP47283595,Banh đao 204,389,,413700
SP35251375,Kem cam 234,388,Kieu dang tien loi,374332
SP24072572,Sua xooai 382,535,,427422
SP14016319,Sua vai thieu 792,913,Ngon bo re,546346
SP22172560,Sua buoi 681,968,,565269
SP36756747,Sua quyt 526,198,,463901
SP52248953,Snack thanh long 747,597,,476923
SP94281141,Muc chuoi 307,335,Thom ngon bo duong,504377
SP26221590,Sua thanh long 673,187,,599117
SP80934943,Muc nhan 600,437,Thom ngon bo duong,555326
SP60321992,Nuoc dua 456,539,,745117
SP28645927,Nuoc bap 218,207,,835414
SP71179811,Sua xooai 837,708,,187823
SP32121717,Nuoc quyt 997,119,San pham tot,790959
SP58681297,Nuoc bap 569,755,,363018
SP19761266,Kem rong bien 182,950,Mau ma đep,869987
SP29897368,Banh khoai tay 294,296,,439441
SP42575021,Kem mo 817,809,,589876
SP35005202,Sua bo 191,125,,370155
SP13009872,Snack nhan 880,406,Phu hop voi gia tien,752301
SP47768721,Kem khoai tim 544,476,,986741
SP89016510,Kem khoai tim 848,721,San pham tot,989016
SP10256274,Snack khoai tay 749,339,,56543
SP89995573,Snack khoai tim 118,281,,726380
SP96875806,Banh man 160,137,,810703
SP12468954,Sua bap 414,543,Mau ma đep,367956
SP83910485,Nuoc man 742,573,,265896
SP61142278,Nuoc bo 844,338,Hinh anh bat mat,504103
SP98172621,Nuoc nhan 432,862,,521038
SP44808588,Banh man 665,869,,677316
SP81872539,Snack xooai 432,769,,468253
SP72690452,Snack thanh long 501,633,Than thien voi moi truong,53919
SP33413991,Banh man 566,277,,86558
SP13669813,Snack vai thieu 759,961,Co ich cho suc khoe,327328
SP81251829,Sua khoai tay 902,248,,398580
SP84214019,Banh rong bien 868,464,,123550
SP69811682,Banh mang cut 289,255,,335601
SP31452562,Muc sau rieng 700,642,Co ich cho suc khoe,966691
SP75550850,Banh nhan 621,800,,576431
SP30000113,Sua đao 988,891,San pham tot,223555
SP74860320,Snack khoai tay 402,273,,740396
SP65848698,Kem quyt 877,894,,707171
SP41406150,Kem bap 956,704,,452546
SP88892457,Nuoc dau 960,626,Kieu dang tien loi,999583
SP44370199,Banh nhan 789,322,,407779
SP64585958,Kem rong bien 236,225,Ngon bo re,828807
SP12622871,Snack nhan 538,339,,583235
SP71073845,Nuoc mo 493,969,,559217
SP77801463,Kem đao 314,508,,940058
SP48677089,Kem buoi 292,830,San pham tot,406061
SP65199417,Sua nhan 123,953,,299548
SP53961424,Banh quyt 925,502,San pham tot,922219
SP42267988,Sua chuoi 773,446,,207974
SP60092405,Banh cam 525,731,,798958
SP37705636,Banh rong bien 603,602,,121975
SP45307688,Snack đao 845,237,Ngon bo re,66019
SP13131005,Muc bap 200,298,,334067
SP53379457,Nuoc mang cut 178,632,Hinh anh bat mat,613471
SP17397603,Nuoc dua 932,523,,26256
SP89805505,Snack buoi 332,183,,461954
SP84384236,Kem chuoi 786,133,,131117
SP68327045,Snack thanh long 824,833,Hinh anh bat mat,600077
SP53264088,Kem nho 296,309,,355626
SP36846258,Kem nho 928,989,Ngon bo re,732372
SP29049017,Kem vai thieu 736,478,,815455
SP63570137,Muc nhan 872,360,,857824
SP36554468,Muc cam 255,657,,953925
SP40776567,Nuoc bap 825,894,Kieu dang tien loi,549830
SP56819053,Snack vai thieu 328,508,,615748
SP65953905,Nuoc khoai tay 413,876,Mau ma đep,15461
SP82445004,Banh quyt 119,527,,668366
SP47644620,Nuoc sau rieng 226,461,,762316
SP71969115,Kem quyt 404,458,,975548
SP22416629,Sua mang cut 433,508,San pham tot,79053
SP13832322,Nuoc man 588,457,,85142
SP85273604,Snack chuoi 748,511,Thom ngon bo duong,524712
SP30596229,Kem bo 496,853,,984064
SP85787162,Nuoc đao 570,712,,951114
SP45194705,Kem sau rieng 439,654,,821709
SP15342516,Banh sau rieng 858,442,Co ich cho suc khoe,290711
SP89277729,Sua đao 511,993,,672223
SP21609358,Kem xooai 117,258,Than thien voi moi truong,824387
SP61230897,Sua hong xiem 515,633,,593714
SP22257295,Muc rong bien 232,453,,683492
SP12753669,Nuoc man 794,925,,574566
SP45753470,Kem quyt 851,121,Ngon bo re,254853
SP21791254,Muc nhan 123,653,,892892
SP94222114,Sua bap 195,404,Co ich cho suc khoe,880966
SP15502754,Snack đao 329,989,,870141
SP69844081,Nuoc xooai 369,592,,373849
SP17354967,Muc thanh long 967,378,,468097
SP87216648,Kem xooai 847,979,Mau sac tuoi tan,169281
SP13256146,Banh nhan 881,125,,608326
SP14414782,Banh bo 614,622,Hinh anh bat mat,662759
SP80925206,Nuoc nhan 974,540,,800580
SP23285825,Sua mang cut 540,615,,537124
SP30994712,Nuoc đao 437,990,,196855
SP62933502,Muc nhan 123,252,Than thien voi moi truong,572823
SP10451135,Nuoc xooai 859,147,,397956
SP54124816,Banh buoi 305,231,Mau sac tuoi tan,236034
SP32458137,Nuoc chuoi 713,301,,597751
SP37798637,Nuoc xooai 137,269,,455740
SP40650422,Muc dua 541,230,,275702
SP46608058,Muc khoai tay 936,861,Than thien voi moi truong,354533
SP76320498,Nuoc quyt 698,173,,962547
SP65466320,Snack thanh long 797,430,Thom ngon bo duong,875334
SP55075449,Banh dau 289,629,,51557
SP57805665,Kem dau 698,307,,846359
SP24959173,Nuoc dua 526,209,,840188
SP59622018,Snack sau rieng 449,717,Co ich cho suc khoe,61433
SP26082639,Nuoc quyt 597,139,,457952
SP79862760,Banh mang cut 257,616,Thom ngon bo duong,489298
SP57121971,Nuoc buoi 549,703,,638473
SP78769910,Banh nho 374,337,,525687
SP33917917,Sua mang cut 476,203,,133570
SP56427943,Snack vai thieu 328,125,Mau ma đep,764673
SP19605191,Sua nhan 861,409,,614004
SP96945534,Kem man 389,362,Phu hop voi gia tien,914005
SP91606867,Nuoc nho 334,742,,699228
SP23690450,Kem bap 508,754,,909463
SP30929231,Muc khoai tim 244,537,,156554
SP14386757,Sua rong bien 266,300,Thom ngon bo duong,572530
SP49703731,Banh nho 109,849,,960428
SP57412442,Snack khoai tim 138,951,Than thien voi moi truong,943172
SP97777839,Banh man 503,462,,362213
SP28618577,Banh dua 424,314,,697105
SP33620483,Banh khoai tim 982,751,,724589
SP29572676,Muc hong xiem 935,738,Than thien voi moi truong,842818
SP45668656,Sua bo 638,214,,436294
SP71682936,Snack quyt 767,704,Ngon bo re,809115
SP61522523,Muc mo 574,637,,191350
SP93256522,Muc sau rieng 117,715,,628584
SP10360857,Muc hong xiem 925,421,,799006
SP73068320,Kem hong xiem 995,437,Hinh anh bat mat,306258
SP46721431,Sua cam 315,442,,974406
SP44267626,Kem chuoi 349,979,Than thien voi moi truong,646931
SP34717067,Nuoc rong bien 284,288,,113612
SP25136595,Muc quyt 487,927,,730771
SP78126514,Banh nho 735,660,,594995
SP86743881,Kem bap 838,957,Hinh anh bat mat,283451
SP94578492,Sua hong xiem 456,297,,703024
SP66285147,Nuoc nhan 649,574,Hinh anh bat mat,986274
SP50903888,Kem mang cut 903,492,,994064
SP57407744,Kem chuoi 224,292,,843014
SP89940254,Muc rong bien 507,285,,487248
SP64917330,Banh bap 580,767,Mau sac tuoi tan,170133
SP23893354,Sua khoai tay 833,978,,973747
SP30114802,Snack cam 142,770,Phu hop voi gia tien,43759
SP24689428,Muc nhan 859,750,,560487
SP75311014,Banh cam 646,448,,566757
SP16740459,Snack mang cut 411,977,,823684
SP96404086,Snack nhan 590,699,Kieu dang tien loi,49921
SP79781913,Muc mang cut 559,422,,183666
SP59785961,Kem cam 483,646,Mau ma đep,758117
SP43716589,Nuoc nho 543,227,,273740
SP68395980,Snack nho 589,245,,661407
SP47197395,Kem mo 608,316,,731331
SP57421295,Nuoc dau 304,518,Ngon bo re,698768
SP38094017,Sua đao 893,206,,358310
SP38428964,Muc hong xiem 423,698,Thom ngon bo duong,233344
SP51466013,Nuoc mo 417,142,,791683
SP80610320,Kem bo 716,347,,499877
SP49190507,Banh bap 712,397,,625122
SP21167488,Banh vai thieu 244,439,Than thien voi moi truong,174624
SP13788573,Nuoc quyt 657,657,,499488
SP43404339,Snack nho 243,791,Phu hop voi gia tien,987479
SP88797968,Muc buoi 532,269,,875394
SP77956196,Muc hong xiem 418,457,,434687
SP97523783,Kem dau 729,381,,153278
SP54834434,Sua vai thieu 277,729,Hinh anh bat mat,689732
SP46743383,Muc quyt 243,886,,949275
SP62534101,Banh dau 935,819,Kieu dang tien loi,306572
SP83102239,Nuoc hong xiem 735,519,,760462
SP63148242,Snack chuoi 762,288,,181819
SP97309940,Kem hong xiem 905,220,,711173
SP49066641,Nuoc vai thieu 833,999,Co ich cho suc khoe,842254
SP29864373,Kem bap 751,880,,923831
SP61432597,Snack nhan 208,337,Than thien voi moi truong,987828
SP76136828,Kem thanh long 494,236,,468103
SP19978585,Banh bo 635,410,,649317
SP75070672,Kem man 289,470,,608515
SP44877229,Sua man 987,277,Co ich cho suc khoe,811176
SP78329998,Snack đao 847,394,,72719
SP67275890,Muc bap 350,165,Phu hop voi gia tien,841328
SP94487511,Snack dau 233,607,,629375
SP58161537,Nuoc đao 945,189,,361985
SP20743641,Muc khoai tay 466,122,,117089
SP49378705,Sua đao 681,468,Mau ma đep,13599
SP86811041,Sua man 956,751,,972041
SP97957046,Sua xooai 804,428,Thom ngon bo duong,694460
SP35825021,Banh rong bien 774,471,,688972
SP93922452,Kem mang cut 996,107,,562967
SP69616888,Kem khoai tay 459,465,,364104
SP44657799,Kem chuoi 575,165,Thom ngon bo duong,491585
SP32123799,Snack quyt 916,963,,909895
SP70179375,Nuoc rong bien 409,438,Kieu dang tien loi,294598
SP17774867,Kem sau rieng 912,380,,876020
SP53358378,Snack vai thieu 981,188,,64869
SP24072419,Muc khoai tay 481,710,,280095
SP30277559,Nuoc chuoi 680,172,Co ich cho suc khoe,909540
SP65550704,Kem dua 807,971,,949785
SP57480952,Snack quyt 484,953,Thom ngon bo duong,827886
SP93730179,Sua rong bien 505,349,,66860
SP52722170,Snack nhan 986,525,,187373
SP69344282,Banh quyt 777,293,,915279
SP30850774,Banh nhan 392,224,Co ich cho suc khoe,163796
SP59314952,Muc bap 693,717,,324017
SP34308599,Nuoc nhan 289,648,Thom ngon bo duong,417365
SP28835339,Kem nho 591,945,,179615
SP43555523,Muc bo 549,549,,489968
SP51377628,Banh rong bien 126,639,,411941
SP16181229,Snack cam 932,229,Hinh anh bat mat,396017
SP36912410,Snack thanh long 140,668,,339583
SP79796093,Nuoc bo 420,315,Kieu dang tien loi,334402
SP60848777,Muc quyt 530,212,,398147
SP17720726,Kem hong xiem 821,851,,988505
SP78472796,Nuoc dua 440,318,,377136
SP37541631,Muc cam 163,837,Than thien voi moi truong,547326
SP81265264,Nuoc thanh long 731,602,,638431
SP77733445,Kem mo 780,585,Ngon bo re,868041
SP70674480,Muc bo 377,521,,466914
SP11050087,Banh đao 933,376,,671961
SP30673280,Kem thanh long 628,672,,422068
SP14473565,Kem mang cut 914,380,San pham tot,394553
SP42928487,Banh sau rieng 666,586,,900474
SP79491357,Kem nho 133,416,Co ich cho suc khoe,116579
SP19019442,Snack xooai 745,965,,648241
SP40507570,Kem vai thieu 903,629,,482600
SP46928198,Muc dua 745,212,,824937
SP11552608,Snack bap 103,815,Kieu dang tien loi,482341
SP70724431,Snack cam 512,916,,606556
SP58564437,Sua quyt 452,658,San pham tot,956329
SP56398070,Nuoc xooai 701,675,,495288
SP44291098,Sua xooai 547,259,,928458
SP77302951,Muc rong bien 301,357,,191852
SP35680625,Snack xooai 845,625,Mau ma đep,485780
SP37022636,Banh sau rieng 898,627,,630864
SP18554075,Kem vai thieu 696,883,Phu hop voi gia tien,919682
SP22620950,Kem quyt 500,223,,58294
SP11075683,Muc man 431,200,,534764
SP59950042,Banh thanh long 253,442,,809715
SP13604492,Banh mang cut 789,808,Thom ngon bo duong,133086
SP93098826,Muc hong xiem 451,408,,908813
SP32167055,Snack nhan 150,838,San pham tot,667973
SP78541016,Kem thanh long 447,258,,974845
SP38891447,Banh man 877,448,,100390
SP79567714,Muc buoi 395,343,,406227
SP48984573,Sua xooai 426,790,Than thien voi moi truong,246039
SP58344628,Banh dua 132,194,,529834
SP17882288,Banh nhan 963,805,Ngon bo re,694343
SP91083986,Muc khoai tay 224,130,,193025
SP79051637,Sua nhan 961,583,,38292
SP82884234,Muc mo 184,417,,192510
SP97645484,Muc nhan 610,985,Mau ma đep,286882
SP31208027,Sua khoai tay 184,412,,316114
SP78380001,Kem đao 299,670,Mau sac tuoi tan,370816
SP37646353,Kem vai thieu 460,469,,646005
SP30269416,Snack buoi 751,877,,64443
SP91084317,Muc rong bien 637,372,,480280
SP83879163,Banh mo 711,542,San pham tot,68008
SP84770507,Muc bap 382,481,,548887
SP36647533,Banh quyt 300,819,Hinh anh bat mat,457723
SP31426683,Sua mang cut 397,419,,204539
SP25254304,Muc hong xiem 167,675,,778553
SP83412694,Nuoc sau rieng 586,754,,892901
SP97002914,Snack cam 166,537,Co ich cho suc khoe,653289
SP51725163,Snack khoai tim 581,529,,690885
SP17955587,Sua dau 933,201,Ngon bo re,401847
SP46249791,Sua cam 223,891,,200884
SP41884995,Muc khoai tim 460,169,,310799
SP53701625,Banh nhan 554,256,,118784
SP34507359,Nuoc mo 555,415,Mau ma đep,328791
SP63837713,Banh quyt 627,989,,675664
SP93948226,Muc khoai tay 793,114,Mau ma đep,401704
SP85220842,Sua dau 849,395,,888617
SP69832250,Kem thanh long 177,330,,558749
SP59742577,Banh cam 642,584,,656186
SP87613676,Nuoc sau rieng 446,496,San pham tot,468407
SP14037310,Banh buoi 856,512,,37290
SP13787717,Snack man 542,274,Mau sac tuoi tan,140113
SP38578335,Nuoc man 800,132,,589228
SP52774307,Nuoc đao 533,670,,73765
SP78080048,Muc sau rieng 966,471,,569279
SP58317863,Nuoc xooai 736,977,Mau sac tuoi tan,305284
SP80874453,Nuoc quyt 956,754,,748621
SP51236943,Snack dau 595,517,Mau ma đep,563652
SP92734752,Snack rong bien 282,170,,181877
SP85723342,Snack đao 828,183,,869740
SP44731083,Banh hong xiem 613,292,,956046
SP82215619,Sua mang cut 564,804,Thom ngon bo duong,576785
SP26407874,Snack thanh long 129,675,,818225
SP14334246,Snack bo 611,786,Hinh anh bat mat,43404
SP77943040,Banh hong xiem 826,468,,285475
SP96430735,Sua nho 809,463,,411657
SP84800240,Snack nho 927,214,,265039
SP94163098,Muc buoi 521,571,Hinh anh bat mat,559967
SP24857914,Kem thanh long 920,488,,181141
SP87304828,Nuoc nhan 841,374,Co ich cho suc khoe,46716
SP36429259,Snack đao 891,787,,380389
SP21129125,Nuoc quyt 639,174,,378340
SP43149082,Snack bo 552,678,,54626
SP45366163,Nuoc quyt 747,312,Thom ngon bo duong,32791
SP19548094,Banh đao 756,323,,947083
SP29223937,Muc quyt 618,160,Thom ngon bo duong,592272
SP28663300,Kem dau 955,708,,749727
SP40662922,Muc quyt 185,234,,776585
SP53686342,Nuoc khoai tay 326,223,,876129
SP94500713,Snack nhan 518,337,Thom ngon bo duong,577499
SP22264141,Kem bo 681,223,,985432
SP78600036,Muc chuoi 927,195,Ngon bo re,939115
SP95937644,Sua bap 393,465,,892141
SP65334211,Banh hong xiem 511,764,,948721
SP32949784,Kem quyt 635,418,,315242
SP94443888,Muc man 438,247,Hinh anh bat mat,817374
SP41386108,Banh vai thieu 775,867,,930147
SP14523544,Nuoc đao 248,745,Hinh anh bat mat,896462
SP93950404,Kem xooai 307,987,,878396
SP76750724,Banh man 942,131,,416807
SP73131818,Snack quyt 791,852,,689561
SP22984086,Nuoc khoai tay 672,772,Co ich cho suc khoe,342529
SP81379869,Muc sau rieng 372,856,,573444
SP99992527,Muc nhan 650,827,San pham tot,895556
SP51573804,Muc mang cut 821,572,,423294
SP84221462,Nuoc dau 798,389,,427293
SP30086182,Sua quyt 772,918,,515493
SP84705437,Snack đao 523,653,Than thien voi moi truong,782428
SP65274499,Muc nhan 118,386,,569328
SP78348147,Banh mo 130,957,Ngon bo re,477176
SP87587384,Kem chuoi 191,431,,135714
SP86863125,Nuoc dua 577,895,,779088
SP36680698,Sua cam 402,323,,340872
SP34740406,Kem rong bien 722,721,Phu hop voi gia tien,43482
SP86111839,Muc dua 439,557,,466217
SP12869360,Kem chuoi 940,269,Hinh anh bat mat,97452
SP16139219,Banh nhan 615,128,,219347
SP60818607,Muc man 225,802,,611461
SP56161196,Muc đao 878,486,,923683
SP49506048,Sua khoai tay 239,703,Thom ngon bo duong,977370
SP95777213,Nuoc cam 670,789,,891948
SP43062570,Sua buoi 641,190,San pham tot,421279
SP15971978,Nuoc nho 507,841,,668359
SP53970587,Sua khoai tay 353,253,,910645
SP20377406,Muc chuoi 278,656,,378289
SP42102181,Snack man 241,325,Mau ma đep,715010
SP19031945,Sua bap 226,244,,973105
SP15545565,Kem thanh long 142,372,Kieu dang tien loi,64212
SP35926787,Banh xooai 660,844,,321511
SP67825893,Snack chuoi 284,522,,259077
SP73979792,Snack hong xiem 617,920,,843999
SP45235513,Snack nhan 836,176,Co ich cho suc khoe,611403
SP98409462,Sua dau 473,373,,623560
SP29875239,Nuoc khoai tim 181,506,Ngon bo re,255260
SP63467150,Muc dua 299,964,,552149
SP41734069,Banh dau 513,206,,584121
SP74112267,Kem nho 541,953,,989151
SP13394775,Muc mo 276,905,Thom ngon bo duong,250452
SP63954932,Muc man 829,993,,237534
SP51596756,Muc mang cut 565,604,Mau sac tuoi tan,942903
SP68043310,Kem man 247,664,,248300
SP11217055,Muc khoai tay 241,228,,158414
SP10406617,Muc quyt 962,731,,851702
SP15739059,Kem rong bien 925,501,Mau ma đep,272261
SP40887236,Nuoc đao 750,270,,205396
SP11557557,Sua mang cut 693,362,Phu hop voi gia tien,854716
SP79361565,Banh bap 229,727,,33977
SP66395867,Muc dua 931,163,,117777
SP58393590,Banh chuoi 743,206,,923075
SP41065982,Banh mo 336,128,Ngon bo re,460413
SP22765723,Banh nho 901,126,,905006
SP34311829,Nuoc khoai tay 667,786,Hinh anh bat mat,336408
SP29695061,Muc mang cut 599,617,,729399
SP78912669,Sua hong xiem 393,617,,175849
SP49604681,Snack vai thieu 317,195,,106804
SP69291406,Kem buoi 292,854,San pham tot,296143
SP39093732,Sua buoi 728,387,,619942
SP26085267,Sua xooai 628,418,Mau ma đep,920562
SP80741511,Sua mo 180,879,,380680
SP47500198,Kem mo 879,300,,729121
SP82752557,Muc bo 314,515,,164447
SP30511835,Snack rong bien 750,555,Hinh anh bat mat,750377
SP92589720,Muc mang cut 323,869,,705443
SP82305499,Kem nho 129,972,Co ich cho suc khoe,156005
SP96585957,Banh nhan 219,107,,199421
SP82943012,Banh nhan 344,269,,937833
SP72496709,Sua dua 162,310,,473793
SP66652946,Kem dau 332,117,Ngon bo re,273699
SP65374274,Banh buoi 324,314,,558320
SP35646062,Banh bap 301,505,Hinh anh bat mat,532045
SP43375485,Snack dua 544,473,,799310
SP72427384,Muc dua 605,971,,849925
SP24372118,Kem hong xiem 733,491,,922868
SP63404208,Snack mo 890,661,Kieu dang tien loi,987919
SP72944715,Kem nho 963,197,,891512
SP79859604,Muc quyt 775,558,Thom ngon bo duong,253669
SP99411054,Banh rong bien 733,111,,438955
SP62517055,Muc thanh long 526,431,,538371
SP92062232,Banh đao 955,933,,109634
SP43293303,Snack nho 509,872,Phu hop voi gia tien,25918
SP48658577,Muc quyt 814,722,,424788
SP60407555,Kem nhan 930,782,Hinh anh bat mat,548706
SP81299988,Snack xooai 957,453,,864284
SP70946346,Nuoc khoai tim 741,499,,259840
SP38218625,Snack quyt 906,498,,492813
SP94024900,Kem đao 493,862,San pham tot,628877
SP36489929,Snack man 483,574,,778061
SP91572270,Muc nhan 425,909,Hinh anh bat mat,604268
SP33861653,Kem chuoi 920,483,,188643
SP57358664,Banh xooai 849,972,,843583
SP65156875,Sua nho 549,149,,102589
SP37739998,Snack sau rieng 738,891,San pham tot,73397
SP17307638,Banh nhan 756,853,,76729
SP27763914,Nuoc bo 960,533,Co ich cho suc khoe,581658
SP79569444,Kem cam 543,476,,913669
SP60832120,Banh bap 467,899,,950832
SP90235222,Nuoc dau 961,371,,445405
SP62897911,Nuoc dau 974,214,Co ich cho suc khoe,891297
SP79410775,Nuoc nho 431,388,,247737
SP59029913,Sua mang cut 974,120,Mau ma đep,200470
SP75975999,Kem mo 181,737,,498489
SP14429954,Banh mang cut 624,625,,360381
SP88308462,Muc buoi 828,730,,990367
SP22317268,Nuoc mo 282,199,Kieu dang tien loi,53392
SP57189381,Snack rong bien 873,565,,920727
SP31172185,Sua rong bien 847,289,Mau ma đep,121047
SP11821750,Snack chuoi 262,676,,842656
SP89245852,Nuoc rong bien 275,755,,85528
SP61801926,Sua xooai 531,670,,643685
SP21897750,Snack mo 540,707,Phu hop voi gia tien,370615
SP84415549,Snack bap 832,539,,94072
SP37473912,Kem đao 580,974,Thom ngon bo duong,636306
SP50200893,Banh hong xiem 834,712,,110207
SP82501875,Nuoc dua 924,199,,257647
SP76786072,Banh thanh long 100,714,,178852
SP53235576,Muc nhan 488,965,Kieu dang tien loi,970495
SP43537017,Snack nhan 608,938,,126168
SP88388170,Snack thanh long 926,221,Mau sac tuoi tan,433331
SP79086924,Sua khoai tim 590,795,,380980
SP62496587,Snack sau rieng 751,598,,242001
SP21361924,Banh bo 372,441,,27897
SP37281447,Banh dau 123,287,Hinh anh bat mat,410408
SP58972688,Banh cam 438,836,,858498
SP16408846,Banh đao 472,168,San pham tot,741479
SP78472469,Muc buoi 991,823,,777440
SP33015932,Nuoc buoi 255,859,,822720
SP58873183,Sua xooai 826,911,,212064
SP25568052,Muc khoai tim 188,777,Ngon bo re,577509
SP55976951,Nuoc bo 631,259,,559918
SP88525144,Banh bo 174,204,Phu hop voi gia tien,249832
SP62309176,Nuoc nhan 562,604,,655947
